### THIS CSV IS INTENDED TO BE USED AT WIRECRACKER.COM FOR LOCALIZATION ###
### THESE TWO LINES SERVES AS IDENTIFIER. DO NOT DELETE ###
Label,ContactNumber,ElectrodeDescription,ContactDescription,AssociatedLocation,Mark,SurgeonMark
TB,1,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex,GM,0,0
TB,2,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex,GM,0,0
TB,3,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex,GM,0,0
TB,4,Medial Inferior Temporal Cortex,WM,WM,0,0
TB,5,Medial Inferior Temporal Cortex,WM,WM,0,0
TB,6,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex,GM,0,0
TB,7,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex+Rostral Inferior Temporal Cortex,GM/GM,0,0
TB,8,Medial Inferior Temporal Cortex,WM,WM,0,0
TB,9,Medial Inferior Temporal Cortex,WM,WM,0,0
TB,10,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex+Rostral Inferior Temporal Cortex,GM/GM,0,0
TB,11,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex+Rostral Middle Temporal Cortex,GM/GM,0,0
TB,12,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex+Rostral Middle Temporal Cortex,GM/GM,0,0
TB,13,Medial Inferior Temporal Cortex,WM,WM,0,0
TB',1,Rostral Middle Temporal Cortex,Hippocampus,Hippocampus,0,0
TB',2,Rostral Middle Temporal Cortex,WM,WM,0,0
TB',3,Rostral Middle Temporal Cortex,Rostral Middle Temporal Cortex+Rostral Inferior Temporal Cortex,GM/GM,0,0
TB',4,Rostral Middle Temporal Cortex,WM,WM,0,0
TB',5,Rostral Middle Temporal Cortex,Rostral Inferior Temporal Cortex,Rostral Inferior Temporal Cortex,0,0
TB',6,Rostral Middle Temporal Cortex,WM,WM,0,0
TB',7,Rostral Middle Temporal Cortex,WM,WM,0,0
TB',8,Rostral Middle Temporal Cortex,Rostral Middle Temporal Cortex,GM,0,0
TB',9,Rostral Middle Temporal Cortex,Rostral Middle Temporal Cortex,GM,0,0
TB',10,Rostral Middle Temporal Cortex,Rostral Middle Temporal Cortex,GM,0,0
TB',11,Rostral Middle Temporal Cortex,WM,WM,0,0
TP',1,Rostral Superior Temporal Cortex,WM,WM,0,0
TP',2,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex+Rostral Middle Temporal Cortex,GM/GM,0,0
TP',3,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,GM,0,0
TP',4,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,GM,0,0
TP',5,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,GM,0,0
TP',6,Rostral Superior Temporal Cortex,WM,WM,0,0
TP',7,Rostral Superior Temporal Cortex,WM,WM,0,0
TP',8,Rostral Superior Temporal Cortex,WM,WM,0,0
TP',9,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,GM,0,0
TP',10,Rostral Superior Temporal Cortex,WM,WM,0,0
TP',11,Rostral Superior Temporal Cortex,WM,WM,0,0
TP',12,Rostral Superior Temporal Cortex,WM,WM,0,0
A',1,Amygdala,Amygdala,GM,0,0
A',2,Amygdala,Amygdala,GM,0,0
A',3,Amygdala,Amygdala,GM,0,0
A',4,Amygdala,Amygdala,GM,0,0
A',5,Amygdala,Amygdala,GM,0,0
A',6,Amygdala,WM,WM,0,0
A',7,Amygdala,WM,WM,0,0
A',8,Amygdala,WM,WM,0,0
A',9,Amygdala,Amygdala+Rostral Superior Temporal Cortex,GM/GM,0,0
A',10,Amygdala,Amygdala+Rostral Superior Temporal Cortex,GM/GM,0,0
A',11,Amygdala,Amygdala+Rostral Middle Temporal Cortex,GM/GM,0,0
A',12,Amygdala,WM,WM,0,0
A',13,Amygdala,Amygdala+Rostral Middle Temporal Cortex,GM/GM,0,0
A',14,Amygdala,WM,WM,0,0
A',15,Amygdala,WM,WM,0,0
OR',1,Ventral Orbito Frontal Cortex,Ventral Orbito Frontal Cortex,GM,0,0
OR',2,Ventral Orbito Frontal Cortex,Ventral Orbito Frontal Cortex,GM,0,0
OR',3,Ventral Orbito Frontal Cortex,Ventral Orbito Frontal Cortex,GM,0,0
OR',4,Ventral Orbito Frontal Cortex,Ventral Orbito Frontal Cortex,GM,0,0
OR',5,Ventral Orbito Frontal Cortex,WM,WM,0,0
OR',6,Ventral Orbito Frontal Cortex,WM,WM,0,0
OR',7,Ventral Orbito Frontal Cortex,WM,WM,0,0
OR',8,Ventral Orbito Frontal Cortex,WM,WM,0,0
OR',9,Ventral Orbito Frontal Cortex,WM,WM,0,0
OR',10,Ventral Orbito Frontal Cortex,WM,WM,0,0
OR',11,Ventral Orbito Frontal Cortex,WM,WM,0,0
OR',12,Ventral Orbito Frontal Cortex,Ventral Orbito Frontal Cortex+Rostral Dorsolateral Inferior Prefrontal Cortex,GM/GM,0,0
OR',13,Ventral Orbito Frontal Cortex,Ventral Orbito Frontal Cortex+Rostral Dorsolateral Inferior Prefrontal Cortex,GM/GM,0,0
OR',14,Ventral Orbito Frontal Cortex,WM,WM,0,0
B,1,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex+Hippocampus,GM/GM,0,0
B,2,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex+Hippocampus,GM/GM,0,0
B,3,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex+Hippocampus,GM/GM,0,0
B,4,Caudal Middle Temporal Cortex,WM,WM,0,0
B,5,Caudal Middle Temporal Cortex,WM,WM,0,0
B,6,Caudal Middle Temporal Cortex,WM,WM,0,0
B,7,Caudal Middle Temporal Cortex,WM,WM,0,0
B,8,Caudal Middle Temporal Cortex,WM,WM,0,0
B,9,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex,GM,0,0
B,10,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex,GM,0,0
B,11,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex,GM,0,0
B,12,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex,GM,0,0
B,13,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex,GM,0,0
B',1,Hippocampus,Hippocampus,GM,0,0
B',2,Hippocampus,Hippocampus,GM,0,0
B',3,Hippocampus,Hippocampus+Medial Inferior Temporal Cortex,GM/GM,0,0
B',4,Hippocampus,WM,WM,0,0
B',5,Hippocampus,WM,WM,0,0
B',6,Hippocampus,WM,WM,0,0
B',7,Hippocampus,WM,WM,0,0
B',8,Hippocampus,WM,WM,0,0
B',9,Hippocampus,WM,WM,0,0
B',10,Hippocampus,WM,WM,0,0
B',11,Hippocampus,WM,WM,0,0
B',12,Hippocampus,Hippocampus+Rostral Middle Temporal Cortex,GM/GM,0,0
B',13,Hippocampus,WM,WM,0,0
B',14,Hippocampus,WM,WM,0,0
GPH',1,Hippocampus,Hippocampus,GM,0,0
GPH',2,Hippocampus,Hippocampus,GM,0,0
GPH',3,Hippocampus,Hippocampus,GM,0,0
GPH',4,Hippocampus,Hippocampus,GM,0,0
GPH',5,Hippocampus,WM,WM,0,0
GPH',6,Hippocampus,WM,WM,0,0
GPH',7,Hippocampus,WM,WM,0,0
GPH',8,Hippocampus,WM,WM,0,0
GPH',9,Hippocampus,WM,WM,0,0
GPH',10,Hippocampus,WM,WM,0,0
GPH',11,Hippocampus,WM,WM,0,0
GPH',12,Hippocampus,Hippocampus+Caudal Middle Temporal Cortex,GM/GM,0,0
GPH',13,Hippocampus,Hippocampus+Caudal Middle Temporal Cortex,GM/GM,0,0
GPH',14,Hippocampus,WM,WM,0,0
GPH',15,Hippocampus,WM,WM,0,0
I',1,Insular Cortex,Insular Cortex,GM,0,0
I',2,Insular Cortex,Insular Cortex,GM,0,0
I',3,Insular Cortex,Insular Cortex,GM,0,0
I',4,Insular Cortex,Insular Cortex,GM,0,0
I',5,Insular Cortex,WM,WM,0,0
I',6,Insular Cortex,WM,WM,0,0
I',7,Insular Cortex,WM,WM,0,0
I',8,Insular Cortex,WM,WM,0,0
I',9,Insular Cortex,WM,WM,0,0
I',10,Insular Cortex,WM,WM,0,0
