### THIS CSV IS INTENDED TO BE USED AT WIRECRACKER.COM FOR FUNCTIONAL MAPPING PLANNING ###
### THESE TWO LINES SERVES AS IDENTIFIER. DO NOT DELETE ###
Label,ContactNumber,ElectrodeDescription,ContactDescription,AssociatedLocation,Mark,SurgeonMark,Pair,IsPlanning,Frequency,Duration,Current,PlanOrder
TB,1,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex,1,false,2,true,125.225,5,5.5,0
TB,2,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex,1,false,1,false,105.225,3,2.445,-1
TB,3,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex,2,false,2,false,105.225,3,2.445,-1
TB,4,Medial Inferior Temporal Cortex,WM,WM,0,false,3,false,105.225,3,2.445,-1
TB,5,Medial Inferior Temporal Cortex,WM,WM,0,false,4,false,105.225,3,2.445,-1
TB,6,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex,0,false,5,false,105.225,3,2.445,-1
TB,7,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex+Rostral Inferior Temporal Cortex,Medial Inferior Temporal Cortex/Rostral Inferior Temporal Cortex,0,false,6,false,105.225,3,2.445,-1
TB,8,Medial Inferior Temporal Cortex,WM,WM,0,false,7,false,105.225,3,2.445,-1
TB,9,Medial Inferior Temporal Cortex,WM,WM,0,false,8,false,105.225,3,2.445,-1
TB,10,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex+Rostral Inferior Temporal Cortex,Medial Inferior Temporal Cortex/Rostral Inferior Temporal Cortex,0,false,9,false,105.225,3,2.445,-1
TB,11,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex+Rostral Middle Temporal Cortex,Medial Inferior Temporal Cortex/Rostral Middle Temporal Cortex,0,false,10,false,105.225,3,2.445,-1
TB,12,Medial Inferior Temporal Cortex,Medial Inferior Temporal Cortex+Rostral Middle Temporal Cortex,Medial Inferior Temporal Cortex/Rostral Middle Temporal Cortex,2,false,11,false,105.225,3,2.445,-1
TB,13,Medial Inferior Temporal Cortex,WM,WM,2,false,12,false,105.225,3,2.445,-1
TB',1,Rostral Middle Temporal Cortex,Hippocampus,Hippocampus,0,false,2,false,105.225,3,2.445,-1
TB',2,Rostral Middle Temporal Cortex,WM,WM,0,false,1,false,105.225,3,2.445,-1
TB',3,Rostral Middle Temporal Cortex,Rostral Middle Temporal Cortex+Rostral Inferior Temporal Cortex,Rostral Middle Temporal Cortex/Rostral Inferior Temporal Cortex,0,false,2,false,105.225,3,2.445,-1
TB',4,Rostral Middle Temporal Cortex,WM,WM,0,false,3,false,105.225,3,2.445,-1
TB',5,Rostral Middle Temporal Cortex,Rostral Inferior Temporal Cortex,Rostral Inferior Temporal Cortex,0,false,4,false,105.225,3,2.445,-1
TB',6,Rostral Middle Temporal Cortex,WM,WM,0,false,5,false,105.225,3,2.445,-1
TB',7,Rostral Middle Temporal Cortex,WM,WM,0,true,6,false,105.225,3,2.445,-1
TB',8,Rostral Middle Temporal Cortex,Rostral Middle Temporal Cortex,Rostral Middle Temporal Cortex,0,true,7,false,105.225,3,2.445,-1
TB',9,Rostral Middle Temporal Cortex,Rostral Middle Temporal Cortex,Rostral Middle Temporal Cortex,0,true,8,false,105.225,3,2.445,-1
TB',10,Rostral Middle Temporal Cortex,Rostral Middle Temporal Cortex,Rostral Middle Temporal Cortex,0,true,9,false,105.225,3,2.445,-1
TB',11,Rostral Middle Temporal Cortex,WM,WM,0,true,10,false,105.225,3,2.445,-1
TP',1,Rostral Superior Temporal Cortex,WM,WM,0,false,2,false,105.225,3,2.445,-1
TP',2,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex+Rostral Middle Temporal Cortex,Rostral Superior Temporal Cortex/Rostral Middle Temporal Cortex,0,false,1,false,105.225,3,2.445,-1
TP',3,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,0,false,2,false,105.225,3,2.445,-1
TP',4,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,0,false,3,false,105.225,3,2.445,-1
TP',5,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,0,false,4,false,105.225,3,2.445,-1
TP',6,Rostral Superior Temporal Cortex,WM,WM,0,false,5,false,105.225,3,2.445,-1
TP',7,Rostral Superior Temporal Cortex,WM,WM,0,false,6,false,105.225,3,2.445,-1
TP',8,Rostral Superior Temporal Cortex,WM,WM,0,false,7,false,105.225,3,2.445,-1
TP',9,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,0,false,8,false,105.225,3,2.445,-1
TP',10,Rostral Superior Temporal Cortex,WM,WM,0,false,9,false,105.225,3,2.445,-1
TP',11,Rostral Superior Temporal Cortex,WM,WM,0,false,10,false,105.225,3,2.445,-1
TP',12,Rostral Superior Temporal Cortex,WM,WM,0,false,11,false,105.225,3,2.445,-1
A',1,Amygdala,Amygdala,Amygdala,0,false,2,false,105.225,3,2.445,-1
A',2,Amygdala,Amygdala,Amygdala,0,false,1,false,105.225,3,2.445,-1
A',3,Amygdala,Amygdala,Amygdala,0,false,2,false,105.225,3,2.445,-1
A',4,Amygdala,Amygdala,Amygdala,0,false,3,false,105.225,3,2.445,-1
A',5,Amygdala,Amygdala,Amygdala,0,false,4,false,105.225,3,2.445,-1
A',6,Amygdala,WM,WM,0,false,5,false,105.225,3,2.445,-1
A',7,Amygdala,WM,WM,0,false,6,false,105.225,3,2.445,-1
A',8,Amygdala,WM,WM,0,false,7,false,105.225,3,2.445,-1
A',9,Amygdala,Amygdala+Rostral Superior Temporal Cortex,Amygdala/Rostral Superior Temporal Cortex,0,false,8,false,105.225,3,2.445,-1
A',10,Amygdala,Amygdala+Rostral Superior Temporal Cortex,Amygdala/Rostral Superior Temporal Cortex,0,false,9,false,105.225,3,2.445,-1
A',11,Amygdala,Amygdala+Rostral Middle Temporal Cortex,Amygdala/Rostral Middle Temporal Cortex,0,false,10,false,105.225,3,2.445,-1
A',12,Amygdala,WM,WM,0,false,11,false,105.225,3,2.445,-1
A',13,Amygdala,Amygdala+Rostral Middle Temporal Cortex,Amygdala/Rostral Middle Temporal Cortex,0,true,12,false,105.225,3,2.445,-1
A',14,Amygdala,WM,WM,0,true,13,false,105.225,3,2.445,-1
A',15,Amygdala,WM,WM,0,true,14,false,105.225,3,2.445,-1
OR',1,Ventral Orbito Frontal Cortex,Ventral Orbito Frontal Cortex,Ventral Orbito Frontal Cortex,1,false,2,false,105.225,3,2.445,-1
OR',2,Ventral Orbito Frontal Cortex,Ventral Orbito Frontal Cortex,Ventral Orbito Frontal Cortex,1,false,1,false,105.225,3,2.445,-1
OR',3,Ventral Orbito Frontal Cortex,Ventral Orbito Frontal Cortex,Ventral Orbito Frontal Cortex,1,false,2,false,105.225,3,2.445,-1
OR',4,Ventral Orbito Frontal Cortex,Ventral Orbito Frontal Cortex,Ventral Orbito Frontal Cortex,0,false,3,true,105.225,3,2.445,1
OR',5,Ventral Orbito Frontal Cortex,WM,WM,0,false,4,false,105.225,3,2.445,-1
OR',6,Ventral Orbito Frontal Cortex,WM,WM,0,false,5,false,105.225,3,2.445,-1
OR',7,Ventral Orbito Frontal Cortex,WM,WM,0,false,6,false,105.225,3,2.445,-1
OR',8,Ventral Orbito Frontal Cortex,WM,WM,0,false,7,false,105.225,3,2.445,-1
OR',9,Ventral Orbito Frontal Cortex,WM,WM,0,false,8,false,105.225,3,2.445,-1
OR',10,Ventral Orbito Frontal Cortex,WM,WM,0,true,9,false,105.225,3,2.445,-1
OR',11,Ventral Orbito Frontal Cortex,WM,WM,0,true,10,false,105.225,3,2.445,-1
OR',12,Ventral Orbito Frontal Cortex,Ventral Orbito Frontal Cortex+Rostral Dorsolateral Inferior Prefrontal Cortex,Ventral Orbito Frontal Cortex/Rostral Dorsolateral Inferior Prefrontal Cortex,2,false,11,false,105.225,3,2.445,-1
OR',13,Ventral Orbito Frontal Cortex,Ventral Orbito Frontal Cortex+Rostral Dorsolateral Inferior Prefrontal Cortex,Ventral Orbito Frontal Cortex/Rostral Dorsolateral Inferior Prefrontal Cortex,2,false,12,false,105.225,3,2.445,-1
OR',14,Ventral Orbito Frontal Cortex,WM,WM,2,false,13,true,108.8,25,4,2
B,1,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex+Hippocampus,Caudal Middle Temporal Cortex/Hippocampus,0,false,2,false,105.225,3,2.445,-1
B,2,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex+Hippocampus,Caudal Middle Temporal Cortex/Hippocampus,0,false,1,false,105.225,3,2.445,-1
B,3,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex+Hippocampus,Caudal Middle Temporal Cortex/Hippocampus,0,false,2,false,105.225,3,2.445,-1
B,4,Caudal Middle Temporal Cortex,WM,WM,0,false,3,false,105.225,3,2.445,-1
B,5,Caudal Middle Temporal Cortex,WM,WM,0,false,4,false,105.225,3,2.445,-1
B,6,Caudal Middle Temporal Cortex,WM,WM,0,false,5,false,105.225,3,2.445,-1
B,7,Caudal Middle Temporal Cortex,WM,WM,0,false,6,false,105.225,3,2.445,-1
B,8,Caudal Middle Temporal Cortex,WM,WM,0,false,7,false,105.225,3,2.445,-1
B,9,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex,0,false,8,false,105.225,3,2.445,-1
B,10,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex,0,false,9,false,105.225,3,2.445,-1
B,11,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex,0,false,10,false,105.225,3,2.445,-1
B,12,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex,0,false,11,false,105.225,3,2.445,-1
B,13,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex,Caudal Middle Temporal Cortex,0,false,12,false,105.225,3,2.445,-1
B',1,Hippocampus,Hippocampus,Hippocampus,0,false,2,false,105.225,3,2.445,-1
B',2,Hippocampus,Hippocampus,Hippocampus,0,false,1,false,105.225,3,2.445,-1
B',3,Hippocampus,Hippocampus+Medial Inferior Temporal Cortex,Hippocampus/Medial Inferior Temporal Cortex,0,false,2,false,105.225,3,2.445,-1
B',4,Hippocampus,WM,WM,0,false,3,false,105.225,3,2.445,-1
B',5,Hippocampus,WM,WM,0,false,4,false,105.225,3,2.445,-1
B',6,Hippocampus,WM,WM,0,false,5,false,105.225,3,2.445,-1
B',7,Hippocampus,WM,WM,0,false,6,false,105.225,3,2.445,-1
B',8,Hippocampus,WM,WM,0,false,7,false,105.225,3,2.445,-1
B',9,Hippocampus,WM,WM,0,false,8,false,105.225,3,2.445,-1
B',10,Hippocampus,WM,WM,0,false,9,false,105.225,3,2.445,-1
B',11,Hippocampus,WM,WM,0,false,10,false,105.225,3,2.445,-1
B',12,Hippocampus,Hippocampus+Rostral Middle Temporal Cortex,Hippocampus/Rostral Middle Temporal Cortex,0,true,11,false,105.225,3,2.445,-1
B',13,Hippocampus,WM,WM,0,true,12,false,105.225,3,2.445,-1
B',14,Hippocampus,WM,WM,0,true,13,false,105.225,3,2.445,-1
GPH',1,Hippocampus,Hippocampus,Hippocampus,0,false,2,false,105.225,3,2.445,-1
GPH',2,Hippocampus,Hippocampus,Hippocampus,0,false,1,false,105.225,3,2.445,-1
GPH',3,Hippocampus,Hippocampus,Hippocampus,0,false,2,false,105.225,3,2.445,-1
GPH',4,Hippocampus,Hippocampus,Hippocampus,0,false,3,false,105.225,3,2.445,-1
GPH',5,Hippocampus,WM,WM,0,false,4,false,105.225,3,2.445,-1
GPH',6,Hippocampus,WM,WM,0,false,5,false,105.225,3,2.445,-1
GPH',7,Hippocampus,WM,WM,0,false,6,false,105.225,3,2.445,-1
GPH',8,Hippocampus,WM,WM,0,false,7,false,105.225,3,2.445,-1
GPH',9,Hippocampus,WM,WM,0,false,8,false,105.225,3,2.445,-1
GPH',10,Hippocampus,WM,WM,0,false,9,false,105.225,3,2.445,-1
GPH',11,Hippocampus,WM,WM,0,false,10,false,105.225,3,2.445,-1
GPH',12,Hippocampus,Hippocampus+Caudal Middle Temporal Cortex,Hippocampus/Caudal Middle Temporal Cortex,0,false,11,false,105.225,3,2.445,-1
GPH',13,Hippocampus,Hippocampus+Caudal Middle Temporal Cortex,Hippocampus/Caudal Middle Temporal Cortex,0,false,12,false,105.225,3,2.445,-1
GPH',14,Hippocampus,WM,WM,0,false,13,false,105.225,3,2.445,-1
GPH',15,Hippocampus,WM,WM,0,false,14,false,105.225,3,2.445,-1
I',1,Insular Cortex,Insular Cortex,Insular Cortex,0,false,2,false,105.225,3,2.445,-1
I',2,Insular Cortex,Insular Cortex,Insular Cortex,0,false,1,false,105.225,3,2.445,-1
I',3,Insular Cortex,Insular Cortex,Insular Cortex,0,false,2,false,105.225,3,2.445,-1
I',4,Insular Cortex,Insular Cortex,Insular Cortex,0,false,3,false,105.225,3,2.445,-1
I',5,Insular Cortex,WM,WM,0,false,4,false,105.225,3,2.445,-1
I',6,Insular Cortex,WM,WM,0,false,5,false,105.225,3,2.445,-1
I',7,Insular Cortex,WM,WM,0,false,6,false,105.225,3,2.445,-1
I',8,Insular Cortex,WM,WM,0,false,7,false,105.225,3,2.445,-1
I',9,Insular Cortex,WM,WM,0,false,8,false,105.225,3,2.445,-1
I',10,Insular Cortex,WM,WM,0,false,9,false,105.225,3,2.445,-1
